Location,ULCS No.,ID,Date Report Issued,Location (Room/Area),,Recommended Corrective Action,Category,Respon-sibility*,Notes,Status,"Date of
Update",Location Closed,Start Date,End Date
2600 N. Broad Street Garage,4781,1,5/3/12,Dispatch Office,,"Loose and damaged 9""x9"" floor tile was observed at the threshold leading the main office. Remove the damaged and loose floor tile from the threshold located between the dispatch office and the main office.  An asbestos DDC was issued on 4/2/2012 for the removal.",Point Source,M,,closed,5/3/12,NO,,
2600 N. Broad Street Garage,4781,2,5/3/12,File Room,,"Loose and damaged 9""x9"" floor tile was observed at the threshold leading the main office. Remove the damaged and loose floor tile from the threshold located between the dispatch office and the main office.  An asbestos DDC was issued on 4/2/2012 for the removal.",Point Source,M,,closed,5/3/12,NO,,
2600 N. Broad Street Garage,4781,3,5/3/12,File Room,,Water from the roof leak impacted the metal file cabinets and associated files. Move metal file cabinets and stored items from the wall and discard all wet porous materials. Thoroughly dry floor and the metal cabinets.,Mold/Moisture,M,,closed,5/3/12,NO,,
2600 N. Broad Street Garage,4781,4,5/3/12,File Room,,A roof leak occurred at the seam above the file room. Repair the roof leak located above the file room.,Mold/Moisture,M,Per Maintenance report,closed,5/7/12,NO,,
2600 N. Broad Street Garage,4781,5,5/3/12,Main Office,,The lower six inches of the couch was observed to be wet. Discard the couch that was impacted by the roof leak.,Mold/Moisture,M,,closed,5/3/12,NO,,
2600 N. Broad Street Garage,4781,6,5/3/12,Main Office,,Water impacted the metal file cabinet and associated files. Move metal file cabinets and stored items from the wall and discard all wet porous materials. Thoroughly dry floor and the metal cabinets.,Mold/Moisture,M,,closed,5/3/12,NO,,
2600 N. Broad Street Garage,4781,7,5/3/12,Dispatch Office,,Missing ceiling tiles were observed following the roof leak. Replace the missing suspended 2'x4' ceiling tiles.,Mold/Moisture,F,Closed per 4781-7 report,closed,8/28/14,NO,,
2600 N. Broad Street Garage,4781,8,5/3/12,File Room,,Missing ceiling tiles were observed following the roof leak. Replace the missing suspended 2'x4' ceiling tiles.,Mold/Moisture,F,Closed per 4781-8 report,closed,8/28/14,NO,,
2600 N. Broad Street Garage,4781,9,5/3/12,File Room,,The partition walls adjacent to the hallway and lounge area were impacted by the roof leak. The base was removed from these partition walls to allow for drying.  The wall assembly and base is constructed of metal and no insulation was observed. Replace base molding on partition walls with vinyl base molding.,Mold/Moisture,M,closed per 4781-9 report,closed,8/28/14,NO,,
440 N. Broad,2550,1,11/17/2010,Conference Room (adjacent to Office 467),,Remove and replace (if not dried) approximately 10 square feet of water-saturated sheetrock and insulation.,Mold/Moisture,Elliott-Lewis,"Per Elliot Lewis, material was dried. The base molding was removed, holes drilled along the bottom of the wall to introduce air into the cavity.",closed,1/18/2011,NO,,
440 N. Broad,2550,2,11/17/2010,"Cubicles
3133.9-11",,Remove and replace water-stained ceiling tiles; Replace missing ceiling tiles.,Mold/Moisture,Elliott-Lewis,Completed per Elliot Lewis.,closed,1/18/2011,NO,,
440 N. Broad,2550,3,11/17/2010,Hallway between Mech. Room and Office 402,,Remove and replace (if not dried) approximately 30 square feet of water-saturated sheetrock and insulation.,Mold/Moisture,Elliott-Lewis,"Per Elliot Lewis, material was dried. The base molding was removed, holes drilled along the bottom of the wall to introduce air into the cavity.",closed,1/18/2011,NO,,
440 N. Broad,2550,4,11/17/2010,Hallway near cubicle 3066.5,,Remove and replace water-stained ceiling tiles; Replace missing ceiling tiles.,Mold/Moisture,Elliott-Lewis,Completed per Elliot Lewis.,closed,1/18/2011,NO,,
440 N. Broad,2550,5,11/17/2010,Mechanical Room,,Remove and replace (if not dried) approximately 45 square feet of water-saturated sheetrock and insulation.,Mold/Moisture,Elliott-Lewis,"Per Elliot Lewis, material was dried. The base molding was removed, holes drilled along the bottom of the wall to introduce air into the cavity.",closed,1/18/2011,NO,,
440 N. Broad,2550,6,11/17/2010,Office 3135,,Remove and replace water-stained ceiling tiles; Replace missing ceiling tiles.,Mold/Moisture,Elliott-Lewis,Completed per Elliot Lewis.,closed,1/18/2011,NO,,
440 N. Broad,2550,7,11/17/2010,Office 3136,,Remove and replace water-stained ceiling tiles; Replace missing ceiling tiles.,Mold/Moisture,Elliott-Lewis,Completed per Elliot Lewis.,closed,1/18/2011,NO,,
440 N. Broad,2550,8,11/17/2010,Office 3136,,Scrape and repaint water-damaged paint on sheetrock wall.,Mold/Moisture,Elliott-Lewis,Completed per Elliot Lewis.,closed,1/18/2011,NO,,
440 N. Broad,2550,9,11/17/2010,Office 402,,Remove and replace (if not dried) approximately 15 square feet of water-saturated sheetrock and insulation.,Mold/Moisture,Elliott-Lewis,"Per Elliot Lewis, material was dried. The base molding was removed, holes drilled along the bottom of the wall to introduce air into the cavity.",closed,1/18/2011,NO,,
440 N. Broad,2550,10,11/17/2010,Office 467,,Discard (if not dried) the wooden bookcase.,Mold/Moisture,Elliott-Lewis,"Per Elliot Lewis, material was dried.",closed,1/18/2011,NO,,
440 N. Broad,2550,11,11/17/2010,Office 467,,Remove and replace (if not dried) approximately 3 square feet of water-saturated sheetrock and insulation.,Mold/Moisture,Elliott-Lewis,"Per Elliot Lewis, material was dried. The base molding was removed, holes drilled along the bottom of the wall to introduce air into the cavity.",closed,1/18/2011,NO,,
440 N. Broad,2550,12,11/17/2010,Room 3068,,Remove and replace (if not dried) approximately 5 square feet of water-saturated carpeting in G. Hampton's cubicle.,Mold/Moisture,Elliott-Lewis,"Per Elliot Lewis, material was dried. ",closed,1/18/2011,NO,,
440 N. Broad,2550,13,11/17/2010,Room 3068,,Remove and replace water-stained ceiling tiles; Replace missing ceiling tiles.,Mold/Moisture,Elliott-Lewis,Completed per Elliot Lewis.,closed,1/18/2011,NO,,
440 N. Broad,2550,14,11/17/2010,Storage Closet near cubicle 3066.5,,Remove and replace water-stained ceiling tiles; Replace missing ceiling tiles.,Mold/Moisture,Elliott-Lewis,Completed per Elliot Lewis.,closed,1/18/2011,NO,,
440 N. Broad,2550,15,1/17/11,Devlin cubicle #3117.17,,A level of consideration for all employees with sensitivity to air fresheners and fragrances should be maintained.,Point Source,Building Occupants,"KEM suggested to Ms. Devlin that if she detects any odors associated with the use of air fresheners and/or fragrances that irritate her condition, she should talk with her supervisor about removing them from the work area.",closed,3/17/11,NO,,
440 N. Broad,2550,16,1/17/11,Devlin cubicle #3117.17,,"Based on the low RH levels detected, and the proximity of the ventilation supply diffuser to Ms. Devlin’s cubicle, relocating Ms. Devlin to an area further away from a ventilation supply diffuser may help alleviate some of her symptoms.",Ventilation,Building Occupants,KEM suggested to Ms. Devlin that if a personal humidifier does not help her condition she should request to be relocated away from the direct path of the supply diffuser.,closed,3/17/11,NO,,
440 N. Broad,2550,17,1/17/11,Devlin cubicle #3117.17,,"The RH measurements were below the recommended comfort range of 30% to 60%; however, this is typically encountered during the heating season.  Consideration should be made regarding supplying Ms. Devlin’s work area with a humidifier during the heating season.",Mold/Moisture,Building Occupants/Elliott-Lewis,The use of a personal humidifier was discussed with Ms. Devlin and she reported that she has been feeling better for the last six weeks.,closed,3/17/11,NO,,
440 N. Broad,2550,18,1/17/11,Devlin cubicle #3117.17,,None found.  Inspection of AHU #3.4 did not reveal any issues contributing to poor indoor air quality.  ,Mold/Moisture,Elliott-Lewis,Building management should continue with scheduled maintenance and replacements of air filters servicing AHU #3.4.,closed,1/17/11,NO,,
440 N. Broad,2550,19,10/24/12,Student Records,,Spot clean carpeting as needed.,Point Source,Elliott-Lewis,"No signs of moisture intrusion, mold growth or musty odor were identified during the evaluation.  Staining was observed on the carpeting in a few locations.",open,10/24/12,NO,,
440 N. Broad,2550,20,10/24/12,Student Records,,Clean particulate form the HVAC supply diffusers.,Point Source,Elliott-Lewis,An accumulation of particulate was observed on the HVAC supply diffusers.,open,10/24/12,NO,,
440 N. Broad,2550,21,10/24/12,Student Records,,Replace the glue board located in the Vector insect light trap and conduct routine monitoring.,Point Source,Elliott-Lewis,An accumulation of gnats were observed on the glue board in the Vector insect light trap .,open,10/24/12,NO,,
440 N. Broad,2550,22,10/24/12,Student Records,,Replace the section of fiberglass duct insulation that has separated from the ductwork.,Mold/Moisture,Elliott-Lewis,A section of fiberglass duct insulation separated from the duct located above the suspended ceiling.,open,10/24/12,NO,,
Adaire ES,5200,1,1/28/11,"Trailer #96
(Art room)",,Clean ceiling mounted supply vents.,Ventilation,F,"Cleaned with germicidal red pac solution per 2/11/2011 email from BE, Matt Gustis.",closed,2/11/2011,YES,,
Adaire ES,5200,2,1/28/11,"Trailer #96
(Art room)",,Clean wall mounted return grill.,Ventilation,F,"Cleaned with germicidal red pac solution per 2/11/2011 email from BE, Matt Gustis.",closed,2/11/2011,YES,,
Adaire ES,5200,3,1/28/11,"Trailer #96
(Art room)",,Replace air filter with appropriate size and model.,Ventilation,F,"Replaced, per 2/11/2011 email from BE, Matt Gustis, with Glassifier model: MX40 SN1-SNG
SIZE:15""x30""x1"" ",closed,2/11/2011,YES,,
Adaire ES,5200,4,1/28/11,"Trailer #96
(Art room)",,Evaluate roof for leaks and repair as needed.,Mold/Moisture,M,Trailer removed from site per Damon Gonzaga.,closed,7/27/11,YES,,
Adaire ES,5200,5,1/28/11,"Trailer #96
(Art room)",,Inspect the fresh air damper for operation and ensure it is not blocked. Adjust fresh air intake as necessary to provide an adequate amount of fresh air for the number of occupants.  ,Ventilation,M,Trailer removed from site per Damon Gonzaga.,closed,7/27/11,YES,,
Adaire ES,5200,6,1/28/11,"Trailer #97
(After School Program)",,Replace air filter with appropriate size and model.,Ventilation,F,"Replaced, per 2/11/2011 email from BE, Matt Gustis, with Glassifier model: MX40 SN1-SNG
SIZE:15""x30""x1""  ",closed,2/11/2011,YES,,
Adaire ES,5200,7,1/28/11,"Trailer #97
(After School Program)",,Replace water stained sheetrock. Evaluate roof for leaks and repair as needed.,Mold/Moisture,M,Trailer removed from site per Damon Gonzaga.,closed,7/27/11,YES,,
Adaire ES,5200,8,1/28/11,"Trailer #97
(After School Program)",,Replace sheetrock exhibiting mold growth. Evaluate roof for leaks and repair as needed,Mold/Moisture,M,Trailer removed from site per Damon Gonzaga.,closed,7/27/11,YES,,
Adaire ES,5200,9,1/28/11,"Trailer #97
(After School Program)",,Inspect the fresh air damper for operation and ensure it is not blocked. Adjust fresh air intake as necessary to provide an adequate amount of fresh air for the number of occupants. ,Ventilation,M,Trailer removed from site per Damon Gonzaga.,closed,7/27/11,YES,,
Adaire ES,5200,10,1/28/11,"Trailer #98
(ESL Trailer - No longer in use)",,Replace water stained sheetrock. Evaluate windows for leaks and repair as needed.,Mold/Moisture,C,Trailer removed from site per Damon Gonzaga.,closed,9/16/11,YES,,
Adaire ES,5200,11,1/28/11,"Trailer #98
(ESL Trailer - No longer in use)",,Replace sheetrock wall.  Mold growth my be present within the wall cavity.  During replacement inspect the wall cavity and repair as needed. Sections of the exterior sheathing may need to be replaced.,Mold/Moisture,C,Trailer removed from site per Damon Gonzaga.,closed,9/16/11,YES,,
Adaire ES,5200,12,1/28/11,"Trailer #98
(ESL Trailer - No longer in use)",,Replace carpet exhibiting mold growth.  Vinyl tile would be better alternative to carpet.  Inspect weather stripping around doors for proper seal.,Mold/Moisture,C,Trailer removed from site per Damon Gonzaga.,closed,9/16/11,YES,,
Adaire ES,5200,13,1/28/11,"Trailer #98
(ESL Trailer - No longer in use)",,Repair any holes in the skirting around the trailer to prevent animals from entering the crawlspace.,Ventilation,C,Trailer removed from site per Damon Gonzaga.,closed,9/16/11,YES,,
Adaire ES,5200,14,1/28/11,"Trailer #98
(ESL Trailer - No longer in use)",,Clean ceiling mounted supply vents.,Ventilation,F,"Cleaned with germicidal red pac solution per 2/11/2011 email from BE, Matt Gustis.",closed,2/11/2011,YES,,
Adaire ES,5200,15,1/28/11,"Trailer #98
(ESL Trailer - No longer in use)",,Clean wall mounted return grill.,Ventilation,F,"Cleaned with germicidal red pac solution per 2/11/2011 email from BE, Matt Gustis.",closed,2/11/2011,YES,,
